Movie Name,IMDb Rating,Year,Certificates,Genre,Director,Star Cast
Gladiator,8.5,2000,R,Action,Ridley Scott,David FranzoniJohn LoganWilliam Nicholson
Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Action,Christopher McQuarrie,Tom CruiseHayley AtwellVing Rhames
Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten
Inglourious Basterds,8.4,2009,R,Adventure,Quentin Tarantino,Brad PittDiane KrugerEli Roth
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie
Jurassic Park,8.2,1993,PG-13,Action,Steven Spielberg,Michael CrichtonDavid Koepp
The Fifth Element,7.6,1997,PG-13,Action,Luc Besson,Luc BessonRobert Mark Kamen
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve
Descendants: The Rise of Red,7.1,2024,TV-G,Action,Jennifer Phang,Rita OraJoshua ColleyChina Anne McClain
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck
The Hunger Games,7.2,2012,PG-13,Action,Gary Ross,Gary RossSuzanne CollinsBilly Ray
Rebel Moon - Part One: A Child of Fire,5.6,2023,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten
Harry Potter and the Sorcerer's Stone,7.6,2001,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson
Wonka,7,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby
Inception,8.8,2010,PG-13,Action,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page
The Lord of the Rings: The Fellowship of the Ring,8.9,2001,PG-13,Action,Peter Jackson,J.R.R. TolkienFran WalshPhilippa Boyens
Twister,6.5,1996,PG-13,Action,Jan de Bont,Helen HuntBill PaxtonCary Elwes
Damsel,6.1,2024,PG-13,Action,Juan Carlos Fresnadillo,Millie Bobby BrownRay WinstoneAngela Bassett
Dune,6.3,1984,PG-13,Action,David Lynch,Kyle MacLachlanVirginia MadsenFrancesca Annis
Arthur the King,7,2024,PG-13,Adventure,Simon Cellan Jones,Mark WahlbergSimu LiuJuliet Rylance
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke
Mad Max Beyond Thunderdome,6.2,1985,PG-13,Action,George Miller,Terry HayesGeorge MillerByron Kennedy
Manjummel Boys,8.4,2024,R,Adventure,Chidambaram,Soubin ShahirSreenath BhasiBalu Varghese
Golden Kamuy,6.4,2024,R,Action,Shigeaki Kubo,Kento YamazakiAnna YamadaYûma Yamoto
Interstellar,8.7,2014,PG-13,Adventure,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain
Planet of the Apes,8,1968,G,Adventure,Franklin J. Schaffner,Michael WilsonRod SerlingPierre Boulle
Barbie,6.8,2023,PG-13,Adventure,Greta Gerwig,Margot RobbieRyan GoslingIssa Rae
Twisters,7.1,2024,PG-13,Action,Lee Isaac Chung,Mark L. SmithJoseph KosinskiMichael Crichton
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman
